,Item,Price,Precio_kilo,Internal code,Categoria 1,Categoria 2,urls
43,,"11,05","29,11 €",4974305,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24974305-desmigado-de-bacalao-desalado-royal-bandeja-225-g/
44,,"5,99",NA,2306054,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/22306054-gulas-del-norte-frescas-la-gula-del-norte-pack-2x210-g/
45,,"7,95",NA,0843498,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/10843498-corte-de-bacalao-skrei-al-peso-compra-minima-1-kg/
46,,"3,85","14,64 €",5555154,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/15555154-filetes-de-bacalao-eroski-bolsa-450-g/
47,,"5,72","11,48 €",1767025,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/21767025-migas-de-bacalao-msc-cabomar-bolsa-500-g/
48,,"18,49","13,30 €",9841378,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/19841378-palitos-de-surimi-msc-eroski-bandeja-300-g/
49,,"3,40","24,58 €",2436976,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/22436976-higado-de-bacalao-ahumado-dani-lata-120-g/
50,,"5,40","15,96 €",93130,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/493130-filete-de-bacalao-al-punto-de-sal-al-peso-compra-minima-500-g/
51,,"5,99","8,82 €",9539881,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/19539881-gelatina-de-salmon-espinacas-gato-poesie-vitakraft-lata-85-g/
52,,"6,99","23,96 €",202854,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/9202854-gulas-con-gambas-congeladas-la-gula-del-norte-sobre-250-g/
53,,"13,99","7,03 €",7721093,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/17721093-alimento-de-salmon-gato-esterilizado-purina-one-bolsa-800-g/
54,,"18,50","37,00 €",4976896,Congelados,Pescado,https://supermercado.eroski.es/es/productdetail/24976896-solomillo-de-bacalao-skrei-msc-eroski-seleqtia-bandeja-400-g/
55,,"9,70","66,90 €",5199961,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/15199961-salmon-ahumado-martiko-pack-2x50-g/
56,,"5,99","13,23 €",0981288,Congelados,Marisco,https://supermercado.eroski.es/es/productdetail/20981288-barritas-de-surimi-krissia-bandeja-400-g/
57,,"63,80","4,63 €",3747835,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/23747835-alimento-seco-semi-humedo-de-salmon-para-gato-felix-sobre-950-g/
58,,"8,95","6,60 €",4055279,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24055279-alimento-de-salmon-para-gato-ultima-paquete-750-g/
59,,"12,45","35,96 €",2287249,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/12287249-palitos-de-bacalao-desalado-msc-giraldo-bandeja-250-g/
60,,"0,82","31,75 €",4158131,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/24158131-gula-fresca-s-gluten-red-sal-la-gula-del-norte-pack-2x100-g/
61,,"0,60","8,76 €",8594655,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/18594655-alimento-de-salmon-gato-esterilizado-ultima-nature-saco-125-kg/
62,,"9,95","14,82 €",2430532,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22430532-alimento-humedo-de-salmon-grainfree-beyond-purina-lata-85-g/
63,,"1,39","3,47 €",808604,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/6808604-alimento-de-salmon-trucha-atun-gato-adulto-friskies-saco-15-kg/
64,,"3,45","10,52 €",6049819,Alimentación,Conservas de pescado,https://supermercado.eroski.es/es/productdetail/16049819-huevas-de-bacalao-dani-lata-200-g/
65,,"0,77","25,58 €",12007,Frescos,"Salchichas, patés y foie",https://supermercado.eroski.es/es/productdetail/412007-pate-de-salmon-la-piara-pack-2x77-g/
66,,"0,95","14,71 €",2466007,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/22466007-alimento-con-bacalao-para-gato-vitakraft-poesie-sobre-85-g/
67,,"0,83","33,25 €",8915926,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/18915926-salmon-ahumado-eroski-basic-sobre-120-g/
68,,"5,20","10,26 €",1131834,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/21131834-perle-delicias-en-salsa-salmon-gourmet-pack-4x85-g/
69,,"1,32",NA,4783904,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24783904-juego-sabanas-jack-polar-color-salmon-3-piezas-100-poliester-eroski-talla-105/
70,,"5,45",NA,493792,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/9493792-stick-de-bacalao-atun-vitakraft-catstick-sobre-18-g/
71,,"3,39","53,61 €",1572144,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21572144-nigiri-de-salmon-atun-duo-sushitake-bandeja-180-g/
72,,"3,40",NA,3852975,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/13852975-snack-de-salmon-para-gato-whiskas-paquete-18-g/
73,,"3,15","15,25 €",871948,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/9871948-barritas-de-surimi-krissia-bandeja-360-g/
74,,"1,55","14,56 €",2421408,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/22421408-barritas-de-surimi-0-materia-grasa-krissia-bandeja-480-g/
75,,"8,45","45,17 €",1571724,Frescos,Platos preparados,https://supermercado.eroski.es/es/productdetail/21571724-spicy-de-salmon-sushitake-bandeja-176-g/
76,,"0,83","18,20 €",6864910,Frescos,Pescados,https://supermercado.eroski.es/es/productdetail/16864910-migas-de-bacalao-salado-giraldo-esencial-bandeja-250-g/
77,,"4,19",NA,4789786,"Hogar, bricolaje y textil",Textil,https://supermercado.eroski.es/es/productdetail/24789786-juego-sabanas-namira-salmon-3-piezas-50-algodon-50-poliester-eroski-talla-105/
78,,"1,26","3,53 €",4565095,Mascotas,Gatos,https://supermercado.eroski.es/es/productdetail/24565095-alimento-de-salmon-para-gato-no-grain-eroski-saco-15-kg/
